Player,Pos,Age,Min,MP,Goals
Jesus Vazquez,DF,19.0,813,15,0.0
Kevin Vázquez,DF,29.0,1334,17,0.0
Lucas Vázquez,DF,30.0,1833,29,0.15
Matías Vecino,MF,30.0,377,17,0.24
Gabriel Veiga,MF,20.0,108,7,0.0
Miguel Veloso,MF,36.0,1343,22,0.0
Joël Veltman,DF,30.0,2874,34,0.03
Mickey van de Ven,DF,21.0,189,5,0.0
Unai Vencedor Paris,MF,21.0,2383,34,0.0
Lorenzo Venuti,DF,27.0,1571,23,0.0
Daniele Verde,FWMF,25.0,1957,33,0.37
Simone Verdi,FWMF,29.0,829,15,0.54
Simone Verdi,FWMF,29.0,46,3,2.0
Gonzalo Verdú,DF,33.0,1397,19,0.0
Jordan Veretout,MF,29.0,2319,36,0.16
Edoardo Vergani,FWMF,21.0,102,6,0.0
Vincent Vermeij,MF,27.0,3,1,0.0
Marco Verratti,MF,29.0,1937,24,0.09
Valerio Verre,MFFW,28.0,310,8,0.0
Valerio Verre,MFFW,28.0,420,11,0.0
Freddie Veseli,DF,29.0,596,9,0.0
Mikel Vesga,MF,29.0,1358,32,0.13
Jannik Vestergaard,DF,29.0,567,10,0.0
Rúben Vezo,DF,28.0,2420,32,0.0
Guglielmo Vicario,GK,25.0,3420,38,0.0
Aleix Vidal,DFMF,32.0,1901,31,0.09
Arturo Vidal,MF,35.0,741,28,0.12
Nacho Vidal,DF,27.0,2902,35,0.0
Gabriel Vidovic,MF,18.0,36,3,0.0
Ronaldo Vieira,MF,23.0,495,14,0.0
Nick Viergever,DF,32.0,2133,24,0.0
Luca Vignali,DF,26.0,85,2,0.0
Emanuel Vignato,MFDF,21.0,594,24,0.0
Dídac Vilà,DFMF,32.0,203,9,0.0
Tonny Vilhena,MFFW,27.0,928,17,0.1
Daniel Villahermosa,MF,21.0,23,1,0.0
Asier Villalibre,FW,24.0,548,19,0.33
Gonzalo Villar,MF,24.0,298,10,0.0
Matías Viña,DF,24.0,1565,26,0.0
Nicolas Viola,MF,32.0,102,6,0.0
Mattia Viti,DF,20.0,1491,20,0.0
Vitolo,MFFW,32.0,221,7,0.0
Daniel Vivian,DF,22.0,1986,24,0.09
Duan Vlahovi?,FW,22.0,1076,15,0.58
Duan Vlahovi?,FW,22.0,1857,21,0.83
Nikola Vlai?,FWMF,24.0,560,19,0.16
Andreas Voglsammer,FWMF,30.0,882,32,0.2
Kevin Vogt,DF,30.0,2569,30,0.0
Mërgim Vojvoda,DF,27.0,1976,29,0.0
Kevin Volland,MFFW,29.0,2436,34,0.33
Cristian Volpato,MFFW,18.0,38,3,2.5
Aster Vranckx,MF,19.0,1141,24,0.16
Stefan de Vrij,DF,30.0,2410,30,0.0
ime Vrsaljko,DF,30.0,914,21,0.1
Nikola Vuk?evi?,MF,30.0,118,6,0.0
Mat?j Vydra,FW,30.0,679,22,0.27
Walace,MF,27.0,2970,36,0.03
Theo Walcott,MFFW,33.0,379,9,0.0
Luca Waldschmidt,MFFW,26.0,717,14,0.13
Kyle Walker,DF,32.0,1755,20,0.0
Kyle Walker-Peters,DF,25.0,2633,32,0.03
Sebastian Walukiewicz,DF,22.0,302,7,0.0
Aaron Wan-Bissaka,DF,24.0,1793,20,0.0
Paul Wanner,FWMF,16.0,39,4,0.0
Danny Ward,GK,28.0,90,1,0.0
Joel Ward,DF,32.0,2487,28,0.0
James Ward-Prowse,MF,27.0,3215,36,0.28
Magnus Warming,FWDF,21.0,58,4,0.0
Daniel Wass,DF,32.0,45,1,0.0
Daniel Wass,MF,32.0,1582,19,0.06
Ollie Watkins,FW,26.0,2952,35,0.34
Timothy Weah,MFFW,22.0,1616,29,0.17
Adam Webster,DF,27.0,1434,22,0.13
Wout Weghorst,FW,29.0,1450,20,0.12
Wout Weghorst,FW,29.0,1553,18,0.35
Noah Weißhaupt,MFFW,20.0,97,10,0.0
Danny Welbeck,FW,31.0,1478,25,0.37
Timo Werner,FWMF,26.0,1283,21,0.28
Ashley Westwood,MF,32.0,2287,27,0.0
Ben White,DF,24.0,2880,32,0.0
Silvan Widmer,DF,29.0,2920,33,0.12
Georginio Wijnaldum,MF,31.0,1653,31,0.05
Jetro Willems,DF,28.0,1598,24,0.06
Brandon Williams,DF,21.0,2120,26,0.0
Iñaki Williams,FW,27.0,2777,38,0.26
Neco Williams,DF,21.0,8,1,0.0
Nico Williams,MF,19.0,1337,34,0.0
Joe Willock,MF,22.0,2038,29,0.09
Callum Wilson,FW,30.0,1386,18,0.52
Patrick Wimmer,FWMF,20.0,2052,31,0.13
Jonas Wind,FWMF,23.0,1180,14,0.38
Marten Winkler,MF,19.0,26,1,0.0
Harry Winks,MF,26.0,912,19,0.0
Frederik Winther,DF,21.0,328,4,0.0
Florian Wirtz,MFFW,19.0,1851,24,0.34
Yoane Wissa,FWMF,25.0,1284,30,0.49
Axel Witsel,MFDF,33.0,1941,29,0.09
Hannes Wolf,FWMF,23.0,307,7,0.0
Marius Wolf,DFFW,27.0,1321,27,0.2
Luca Wollschläger,FW,19.0,16,2,0.0
Jeong Woo-yeong,FWMF,22.0,1782,32,0.25
Chris Wood,FW,30.0,1327,17,0.14
Chris Wood,FW,30.0,1367,17,0.2
Freddie Woodman,GK,25.0,360,4,0.0
Christopher Wooh,DF,20.0,1050,14,0.0
Joscha Wosz,DF,19.0,9,1,0.0
Xeka,MF,27.0,1619,23,0.17
Granit Xhaka,MFDF,29.0,2327,27,0.04
Sekou Yansané,FW,19.0,16,1,0.0
Andriy Yarmolenko,FW,32.0,316,19,0.29
Yusuf Yazýcý,MFFW,25.0,509,15,0.18
Kelvin Yeboah,FW,22.0,850,17,0.0
Gerard Yepes,MFDF,19.0,21,4,0.0
Burak Yýlmaz,FW,36.0,2211,31,0.16
Okay Yokuþlu,DFMF,28.0,140,8,0.0
Okay Yokuþlu,DFMF,28.0,465,11,0.0
Leny Yoro,MF,16.0,13,1,0.0
Maya Yoshida,DF,33.0,1823,26,0.1
Ashley Young,DFFW,36.0,1250,24,0.0
Nathan Young-Coombes,FW,19.0,4,1,0.0
Zaydou Youssouf,MF,22.0,1553,30,0.06
Mattia Zaccagni,MFFW,26.0,180,2,1.0
Mattia Zaccagni,FW,26.0,1876,29,0.19
Dan-Axel Zagadou,DF,22.0,952,15,0.0
Wilfried Zaha,FW,29.0,2760,33,0.46
Denis Zakaria,MF,25.0,597,9,0.15
Denis Zakaria,MFDF,25.0,1395,16,0.13
Joseba Zaldúa,DF,29.0,1172,24,0.0
Nicola Zalewski,DF,20.0,793,16,0.0
Andre-Frank Zambo Anguissa,MF,26.0,1926,25,0.0
Nicolò Zaniolo,FW,22.0,1971,28,0.09
Alessandro Zanoli,DF,21.0,457,12,0.0
Mattia Zanotti,DF,19.0,9,1,0.0
Duván Zapata,FW,31.0,1722,24,0.52
Gabriele Zappa,DF,22.0,1144,25,0.0
Davide Zappacosta,DF,29.0,2345,34,0.04
Oier Zarraga,MF,23.0,1166,31,0.08
Simone Zaza,FWMF,30.0,129,10,0.0
Akim Zedadka,DF,26.0,3337,38,0.0
Deyovaisio Zeefuik,DFMF,24.0,565,11,0.0
Marvin Zeegelaar,DF,31.0,643,14,0.0
Arber Zeneli,FW,27.0,409,9,0.44
Robin Zentner,GK,27.0,2880,32,0.0
Andi Zeqiri,FWMF,22.0,1016,22,0.18
Mehdi Zerkane,MFDF,22.0,83,6,0.0
Edon Zhegrova,MFFW,23.0,481,13,0.38
Luca Zidane,GKMF,24.0,645,8,0.0
Piotr Zieli?ski,MF,28.0,2086,35,0.26
David Zima,DF,21.0,1314,20,0.0
Christoph Zimmermann,DF,29.0,157,3,0.0
Oleksandr Zinchenko,DF,25.0,1047,15,0.0
Hakim Ziyech,FWMF,29.0,1319,23,0.27
Jeroen Zoet,GK,31.0,630,7,0.0
Simon Zoller,FW,30.0,596,10,0.45
Nadir Zortea,DFMF,22.0,1410,29,0.06
Banhie Zoukrou,DF,19.0,77,4,0.0
Kurt Zouma,DF,27.0,2078,24,0.04
Petar Zovko,GK,20.0,29,1,0.0
Igor Zubeldia,DF,25.0,1648,26,0.0
Martín Zubimendi,MF,23.0,2591,36,0.07
Szymon ?urkowski,MF,24.0,2307,35,0.23
Martin Ødegaard,MF,23.0,2785,36,0.23
Milan ?uri?,FW,32.0,2165,33,0.21
Filip ?uri?i?,MFFW,30.0,671,12,0.27
