Player Name,Appearances,Goals Scored,Assists Provided,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90
Dani Olmo,4,1,1,3.91,0.24,1.22,3.42
Nico Williams,4,0,0,8.07,0.00,2.48,6.83
Ansu Fati,2,0,0,4.09,0.00,2.05,6.14
Yann Sommer,3,0,0,0,0,0,0
Jonas Omlin,0,0,0,0,0,0,0
Gregor Kobel,1,0,0,0,0,0,0
Philipp Kohn,0,0,0,0,0,0,0
Ricardo Rodriguez,4,0,0,0.00,0.00,1.50,7.00
Fabian Schar,2,0,0,0.00,1.32,1.32,7.94
Manuel Akanji,4,1,0,0.00,0.75,1.25,6.00
Nico Elvedi,2,0,0,0.00,0.50,1.00,4.50
Eray Comert,2,0,0,0.00,4.09,0.00,2.05
Xherdan Shaqiri,3,1,1,0.78,0.00,0.00,3.12
Granit Xhaka,4,0,0,0.25,0.50,1.50,6.25
Remo Freuler,4,1,0,0.56,0.83,2.22,3.34
Denis Zakaria,2,0,0,1.58,4.74,0.00,6.32
Djibril Sow,4,0,1,0.33,0.33,0.66,3.65
Renato Steffen,1,0,0,2.81,0.00,0.00,2.81
Edimilson Fernandes,3,0,0,1.26,1.26,1.26,2.52
Fabian Frei,2,0,0,0.00,4.09,4.09,4.09
Michel Aebischer,1,0,0,0.00,0.00,6.43,0
Ardon Jashari,0,0,0,0,0,0,0
Fabian Rieder,2,0,0,1.34,0.00,4.03,8.06
Haris Seferovic,3,0,0,0.00,0.00,0.00,0.00
Breel Embolo,4,2,0,1.38,0.00,0.28,4.68
Ruben Vargas,4,0,1,1.56,0.31,0.00,3.13
Christian Fassnacht,1,0,0,0,0.00,0.00,0
Noah Okafor,3,0,0,2.14,0.00,0.00,2.14
Hernan Galindez,0,0,0,0,0,0,0
Moises Ramirez,0,0,0,0,0,0,0
Alexander Dominguez,0,0,0,0,0,0,0
Felix Torres,3,0,1,0.33,1.33,0.67,6.67
Piero Hincapie,3,0,0,0.00,0.67,2.33,6.00
Robert Arboleda,0,0,0,0,0,0,0
William Pacho,0,0,0,0,0,0,0
Pervis Estupinan,3,0,0,2.33,1.00,2.33,6.00
Xavier Arreaga,0,0,0,0,0,0,0
Angelo Preciado,3,0,1,0.34,1.70,2.38,5.10
Diego Palacios,0,0,0,0,0,0,0
Jackson Porozo,2,0,0,0.00,2.84,1.89,5.69
Jose Cifuentes,0,0,0,0,0,0,0
Carlos Gruezo,1,0,0,0.00,0.00,3.91,3.91
Angel Mena,0,0,0,0,0,0,0
Jeremy Sarmiento,3,0,0,0,0,0,0
Gonzalo Plata,3,0,0,4.00,0.67,1.00,7.67
Jhegson Mendez,0,0,0,0,0,0,0
Alan Franco,0,0,0,0,0,0,0
Moises Caicedo,3,1,0,0.00,0.67,2.00,4.33
Kevin Rodriguez,0,0,0,0,0,0,0
Ayrton Preciado,0,0,0,0,0,0,0
Romario Ibarra,2,0,0,0.50,1.32,0.00,1.32
Michael Estrada,3,0,0,0.79,0.00,0.39,0
Enner Valencia,3,3,0,2.10,0.35,0.70,5.25
Djorkaeff Reasco,1,0,0,0.00,0.00,0.00,0.00
Saad Al Sheeb,1,0,0,0,0,0,0
Meshaal Barsham,0,0,0,0,0,0,0
Yousef Hassan,0,0,0,0,0,0,0
Abdelkarim Hassan,0,0,0,0,0,0,0
Boualem Khoukhi,3,0,0,0.33,1.00,0.67,2.33
Pedro Miguel,3,0,0,1.03,2.74,2.05,6.51
Tarek Salman,1,0,0,0.00,0,0,0
